Timestamp,X,Y,Snelheid,Acceleration,dist to closest home,dist to closest visitor,Naam,Shirt,
0,,,6.71,6.39,0,0,ball,5,
0,-49.105,1.325,0,0.01,33.048,27.982,01_XX0001,1,
0,,,0,0,0,0,03_XX0001,3,
0,-10.784,-22.442,0.51,0.7,13.431,16.189,04_XX0001,4,
0,-18.68,-11.577,0.41,0.59,13.431,13.842,05_XX0001,5,
0,-5.163,22.755,0.05,0.06,13.693,5.801,15_XX0001,15,
0,-8.756,7.283,0.29,0.46,10.178,6.798,29_XX0001,29,
0,0.784,0.577,0.61,1.08,1.006,7.8,06_XX0001,6,
0,0.372,-0.341,0.59,0.78,1.006,8.542,10_XX0001,10,
0,,,0,0,0,0,18_XX0001,18,
0,,,0,0,0,0,23_XX0001,23,
0,,,0,0,0,0,11_XX0001,11,
0,0.907,10.481,0.98,1.46,9.905,3.895,14_XX0001,14,
0,4.366,-20.693,1.47,2.06,15.25,10.928,17_XX0001,17,
0,45.032,-0.712,0.19,0.21,44.267,23.761,26_XX0002,26,
0,15.045,19.377,0.55,0.7,16.704,14.688,02_XX0002,2,
0,21.5,2.585,0.27,0.48,20.814,15.139,03_XX0002,3,
0,20.537,-12.523,0.3,0.38,18.118,12.092,05_XX0002,5,
0,18.489,-25.522,0.34,0.57,14.927,13.16,06_XX0002,6,
0,0.551,21.754,0.45,0.71,5.801,14.114,04_XX0002,4,
0,-2.123,-8.764,1.56,2.26,8.785,10.878,08_XX0002,8,
0,-1.983,7.87,1.72,2.16,3.895,14.114,10_XX0002,10,
0,,,0,0,0,0,23_XX0002,23,
0,,,0.07,0.13,0,0,07_XX0002,7,
0,-21.132,2.046,0.16,0.2,13.439,20.015,09_XX0002,9,
0,8.596,-10.617,0.28,0.47,10.928,10.878,11_XX0002,11,
0,,,0,0,0,0,21_XX0002,21,
0,,,0,0,0,0,25_XX0002,25,
0,0,0,0,,,,,,
0,0,0,0,,,,,,
100,-6.54,1.733,7.96,12.13,6.01,7.409,ball,5,
100,-49.105,1.325,0,0.02,33.02,27.958,01_XX0001,1,
100,,,0,0,0,0,03_XX0001,3,
100,-10.717,-22.45,0.65,1.44,13.479,16.104,04_XX0001,4,
100,-18.722,-11.606,0.53,1.23,13.479,13.859,05_XX0001,5,
100,-5.168,22.755,0.06,0.11,13.767,5.775,15_XX0001,15,
100,-8.758,7.319,0.39,1,10.272,6.598,29_XX0001,29,
100,0.842,0.589,0.83,2.34,1.079,7.739,06_XX0001,6,
100,0.427,-0.407,0.75,1.64,1.079,8.53,10_XX0001,10,
100,,,0,0,0,0,18_XX0001,18,
100,,,0,0,0,0,23_XX0001,23,
100,,,0,0,0,0,11_XX0001,11,
100,1.023,10.458,1.28,3.05,9.871,4.21,14_XX0001,14,
100,4.551,-20.663,1.89,4.24,15.372,10.812,17_XX0001,17,
100,45.056,-0.707,0.23,0.38,44.233,23.8,26_XX0002,26,
100,14.994,19.32,0.69,1.44,16.544,14.677,02_XX0002,2,
100,21.49,2.614,0.37,1.08,20.747,12.496,03_XX0002,3,
100,20.571,-12.544,0.37,0.78,17.96,12.102,05_XX0002,5,
100,18.477,-25.56,0.46,1.2,14.763,13.184,06_XX0002,6,
100,0.514,21.721,0.6,1.5,5.775,14.259,04_XX0002,4,
100,-2.31,-8.715,2.02,4.68,8.746,11.098,08_XX0002,8,
100,-2.172,7.717,2.15,4.31,4.21,12.262,10_XX0002,10,
100,,,0,0,0,0,23_XX0002,23,
100,8.994,2.649,0.09,0.32,8.408,12.262,07_XX0002,7,
100,-21.156,2.037,0.2,0.51,13.477,19.816,09_XX0002,9,
100,8.619,-10.645,0.38,1.11,10.812,11.098,11_XX0002,11,
100,,,0,0,0,0,21_XX0002,21,
100,,,0,0,0,0,25_XX0002,25,
100,0,0,0,,,,,,
100,0,0,0,,,,,,
200,-49.105,1.325,0.01,0.02,32.983,27.929,01_XX0001,1,
200,,,0,0,0,0,03_XX0001,3,
200,-10.632,-22.457,0.8,1.52,13.54,15.998,04_XX0001,4,
200,-18.777,-11.642,0.66,1.24,13.54,13.882,05_XX0001,5,
200,-5.174,22.756,0.07,0.12,13.867,5.745,15_XX0001,15,
200,-8.763,7.365,0.49,1.08,10.401,6.353,29_XX0001,29,
200,0.927,0.596,1.08,2.5,1.17,7.704,06_XX0001,6,
200,0.49,-0.489,0.92,1.76,1.17,8.536,10_XX0001,10,
200,,,0,0,0,0,18_XX0001,18,
200,,,0,0,0,0,23_XX0001,23,
200,,,0,0,0,0,11_XX0001,11,
200,1.176,10.429,1.59,3.18,9.836,4.608,14_XX0001,14,
200,4.789,-20.627,2.32,4.31,15.529,10.666,17_XX0001,17,
200,45.088,-0.698,0.26,0.35,44.18,23.853,26_XX0002,26,
200,14.927,19.251,0.84,1.51,16.338,14.661,02_XX0002,2,
200,21.472,2.651,0.49,1.22,20.647,12.491,03_XX0002,3,
200,20.615,-12.568,0.45,0.79,17.76,12.119,05_XX0002,5,
200,18.459,-25.607,0.58,1.16,14.548,13.217,06_XX0002,6,
200,0.467,21.672,0.75,1.57,5.745,14.423,04_XX0002,4,
200,-2.552,-8.649,2.5,4.81,8.709,11.38,08_XX0002,8,
200,-2.412,7.539,2.57,4.16,4.608,12.396,10_XX0002,10,
200,,,0,0,0,0,23_XX0002,23,
200,8.981,2.655,0.13,0.42,8.313,12.396,07_XX0002,7,
200,-21.185,2.03,0.26,0.65,13.519,19.565,09_XX0002,9,
200,8.644,-10.683,0.5,1.29,10.666,11.38,11_XX0002,11,
200,,,0,0,0,0,21_XX0002,21,
200,,,0,0,0,0,25_XX0002,25,
200,0,0,0,,,,,,
200,0,0,0,,,,,,
300,-9.632,1.975,10.27,11.08,5.515,8.763,ball,5,
300,-49.106,1.325,0.01,0.01,32.934,27.897,01_XX0001,1,
300,,,0,0,0,0,03_XX0001,3,
300,-10.528,-22.463,0.96,1.66,13.617,15.872,04_XX0001,4,
300,-18.849,-11.684,0.78,1.21,13.617,13.913,05_XX0001,5,
300,-5.183,22.761,0.08,0.16,13.998,5.709,15_XX0001,15,
300,-8.773,7.422,0.6,1.12,10.57,6.068,29_XX0001,29,
300,1.045,0.593,1.33,2.57,1.276,7.721,06_XX0001,6,
300,0.559,-0.587,1.1,1.87,1.276,8.575,10_XX0001,10,
300,,,0,0,0,0,18_XX0001,18,
300,,,0,0,0,0,23_XX0001,23,
300,,,0,0,0,0,11_XX0001,11,
300,1.37,10.392,1.91,3.26,9.805,5.091,14_XX0001,14,
300,5.085,-20.587,2.75,4.33,15.725,10.487,17_XX0001,17,
300,45.126,-0.683,0.3,0.32,44.099,23.922,26_XX0002,26,
300,14.845,19.174,0.99,1.57,16.084,14.64,02_XX0002,2,
300,21.444,2.695,0.62,1.33,20.507,12.475,03_XX0002,3,
300,20.671,-12.593,0.53,0.79,17.516,12.146,05_XX0002,5,
300,18.43,-25.665,0.69,1.02,14.278,13.262,06_XX0002,6,
300,0.407,21.604,0.91,1.63,5.709,14.598,04_XX0002,4,
300,-2.857,-8.567,2.98,4.88,8.68,11.727,08_XX0002,8,
300,-2.706,7.342,2.98,3.89,5.091,12.578,10_XX0002,10,
300,,,0,0,0,0,23_XX0002,23,
300,8.969,2.662,0.18,0.56,8.19,12.475,07_XX0002,7,
300,-21.217,2.027,0.33,0.75,13.563,19.26,09_XX0002,9,
300,8.668,-10.731,0.64,1.4,10.487,11.727,11_XX0002,11,
300,,,0,0,0,0,21_XX0002,21,
300,,,0,0,0,0,25_XX0002,25,
300,0,0,0,,,,,,
300,0,0,0,,,,,,
400,-11.058,2.084,11.32,10.29,5.863,9.472,ball,5,
400,-49.106,1.325,0.01,0.01,32.871,27.865,01_XX0001,1,
400,,,0,0,0,0,03_XX0001,3,
400,-10.407,-22.467,1.13,1.86,13.715,15.732,04_XX0001,4,
400,-18.938,-11.728,0.9,1.15,13.715,13.952,05_XX0001,5,
400,-5.193,22.768,0.1,0.22,14.159,5.669,15_XX0001,15,
400,-8.789,7.49,0.71,1.1,10.779,5.754,29_XX0001,29,
400,1.2,0.572,1.59,2.6,1.397,7.818,06_XX0001,6,
400,0.628,-0.703,1.29,1.93,1.397,8.657,10_XX0001,10,
400,,,0,0,0,0,18_XX0001,18,
400,,,0,0,0,0,23_XX0001,23,
400,,,0,0,0,0,11_XX0001,11,
400,1.604,10.347,2.24,3.31,9.784,5.651,14_XX0001,14,
400,5.434,-20.544,3.18,4.33,15.958,10.28,17_XX0001,17,
400,45.165,-0.662,0.33,0.28,43.983,24.006,26_XX0002,26,
400,14.748,19.093,1.15,1.6,15.787,14.614,02_XX0002,2,
400,21.403,2.747,0.75,1.39,20.32,12.449,03_XX0002,3,
400,20.734,-12.621,0.61,0.78,17.23,12.185,05_XX0002,5,
400,18.386,-25.735,0.78,0.87,13.953,13.323,06_XX0002,6,
400,0.336,21.516,1.08,1.68,5.669,14.614,04_XX0002,4,
400,-3.222,-8.472,3.47,4.91,8.671,12.133,08_XX0002,8,
400,-3.046,7.137,3.35,3.49,5.651,12.804,10_XX0002,10,
400,,,0,0,0,0,23_XX0002,23,
400,8.954,2.669,0.24,0.74,8.033,12.449,07_XX0002,7,
400,-21.25,2.031,0.41,0.79,13.604,18.906,09_XX0002,9,
400,8.687,-10.793,0.78,1.42,10.28,12.133,11_XX0002,11,
400,,,0,0,0,0,21_XX0002,21,
