,InBallPos,PlayerID,Shirt,Speed,TeamID,Ts,X,Y,dist to closest home,dist to closest visitor
1,0.0,1235.0,0.0,0.17,AAA,0.0,-46.09,-0.7240000000000001,27.546999999999997,46.246
2,0.0,1.0,0.0,0.22,AAA,0.0,-13.552,15.967,10.748,18.682000000000002
3,0.0,1241.0,0.0,0.29,AAA,0.0,-19.401,6.662000000000001,10.991,20.488000000000003
4,0.0,1261.0,0.0,0.18,AAA,0.0,-20.533,-12.116,7.392,19.975
5,0.0,1554.0,0.0,0.13,AAA,0.0,-18.722,-25.351,11.959000000000001,18.418
6,0.0,1226.0,0.0,0.29,AAA,0.0,-9.132,2.53,8.482000000000001,9.491
7,0.0,28.0,28.0,0.13,AAA,0.0,-18.864,-4.915,7.392,19.42
8,0.0,30.0,30.0,0.13,AAA,0.0,-6.346,-7.617000000000001,10.523,6.922000000000001
9,0.0,1210.0,0.0,0.4,AAA,0.0,-7.947,-20.164,11.959000000000001,7.218
10,0.0,1182.0,0.0,0.49,AAA,0.0,-4.753,9.795,5.754,10.5
11,0.0,1244.0,0.0,0.64,AAA,0.0,0.633,7.769,5.754,7.282
12,0.0,1557.0,1.0,0.05,BBB,0.0,40.431999999999995,-0.3,40.609,24.381
13,0.0,1573.0,6.0,0.08,BBB,0.0,15.933,-12.033,22.712,11.681
14,0.0,1558.0,5.0,0.15,BBB,0.0,16.051,-0.353,17.427,7.652
15,0.0,1559.0,4.0,0.22,BBB,0.0,13.448,8.068,12.819,8.288
16,0.0,1560.0,2.0,0.42,BBB,0.0,5.0680000000000005,17.493,10.687999999999999,12.612
17,0.0,1561.0,3.0,0.67,BBB,0.0,-1.063,-30.583000000000002,12.488,11.718
18,0.0,1562.0,11.0,0.24,BBB,0.0,2.821,-10.152999999999999,9.511000000000001,3.6239999999999997
19,0.0,1563.0,8.0,0.47,BBB,0.0,8.591000000000001,1.3519999999999999,10.222999999999999,7.652
20,1.0,1564.0,7.0,0.04,BBB,0.0,0.139,0.504,7.282,8.494
21,0.0,1565.0,9.0,0.5,BBB,0.0,-0.847,-18.867,7.218,7.44
22,0.0,1566.0,10.0,0.41,BBB,0.0,-0.57,-11.432,6.922000000000001,3.6239999999999997
29,0.0,ball,1.0,6.58,,0.1,0.2,0.5,7.193,0.069
30,0.0,1235.0,0.0,0.4,AAA,0.1,-46.059,-0.706,27.545,46.206
31,0.0,1.0,0.0,0.55,AAA,0.1,-13.505,15.956,10.793,18.57
32,0.0,1241.0,0.0,0.72,AAA,0.1,-19.340999999999998,6.645,10.988,20.416
33,0.0,1261.0,0.0,0.44,AAA,0.1,-20.52,-12.152000000000001,7.421,19.875999999999998
34,0.0,1554.0,0.0,0.33,AAA,0.1,-18.703,-25.33,11.92,18.277
35,0.0,1226.0,0.0,0.72,AAA,0.1,-9.142999999999999,2.469,8.591000000000001,9.48
36,0.0,28.0,28.0,0.28,AAA,0.1,-18.839000000000002,-4.9239999999999995,7.421,19.316
37,0.0,30.0,30.0,0.35,AAA,0.1,-6.319,-7.627999999999999,10.485,6.827999999999999
38,0.0,1210.0,0.0,0.97,AAA,0.1,-7.922999999999999,-20.245,11.92,7.102
39,0.0,1182.0,0.0,1.22,AAA,0.1,-4.647,9.79,5.779,10.440999999999999
40,0.0,1244.0,0.0,1.56,AAA,0.1,0.731,7.6739999999999995,5.779,7.192
41,0.0,1557.0,1.0,0.12,BBB,0.1,40.443000000000005,-0.3,40.505,24.414
42,0.0,1573.0,6.0,0.2,BBB,0.1,15.919,-12.044,22.673000000000002,11.667
