,Acceleration,PlayerID,Snelheid,TeamID,Ts,X,Y
1,12.13,ball,7.96,,0.1,-6.54,1.733
2,11.08,ball,10.27,,0.3,-9.632,1.975
3,10.29,ball,11.32,,0.4,-11.058,2.084
4,9.74,ball,12.32,,0.5,-12.401,2.188
5,-7.47,ball,12.43,,0.6,-13.652000000000001,2.289
6,-7.33,ball,11.76,,0.7000000000000001,-14.825,2.378
7,-10.25,ball,10.95,,0.8,-15.950999999999999,2.467
8,-13.43,ball,9.62,,0.9,-17.005,2.548
9,-10.85,ball,8.43,,1.0,-18.0,2.625
10,-10.95,ball,7.36,,1.1,-18.935,2.699
11,-8.67,ball,6.35,,1.2,-19.845,2.87
12,-9.32,ball,5.42,,1.3,-20.477,3.1189999999999998
13,-8.72,ball,4.57,,1.4000000000000001,-20.565,3.1039999999999996
14,-7.4,ball,3.69,,1.5,-20.447,2.9989999999999997
15,-6.38,ball,3.06,,1.6,-20.305,2.885
16,-1.54,ball,2.51,,1.7,-20.428,2.94
17,-1.81,ball,2.37,,1.8,-20.35,2.967
18,1.91,ball,2.49,,1.9000000000000001,-20.169,3.053
19,0.01,ball,2.6,,2.0,-20.162,3.179
20,2.32,ball,2.75,,2.1,-20.2,3.1689999999999996
21,-1.07,ball,2.77,,2.2,-19.816,3.222
22,1.33,ball,2.85,,2.3000000000000003,-19.32,3.431
23,0.22,ball,2.84,,2.4,-19.113,3.513
24,-0.4,ball,2.92,,2.5,-19.029,3.667
25,-0.96,ball,2.8,,2.6,-18.746,3.7239999999999998
26,-4.5,ball,2.58,,2.7,-18.625,3.861
27,-0.59,ball,2.19,,2.8000000000000003,-18.352999999999998,3.9160000000000004
28,1.96,ball,2.24,,2.9,-18.169,3.968
29,8.61,ball,2.52,,3.0,-17.995,4.058
30,15.89,ball,3.52,,3.1,-17.825,4.123
31,25.85,ball,6.18,,3.2,-17.820999999999998,4.167
32,22.03,ball,8.54,,3.3000000000000003,-17.723,4.216
33,21.97,ball,10.79,,3.4,-17.448,4.1930000000000005
34,20.39,ball,12.89,,3.5,-16.991,3.8819999999999997
35,19.21,ball,14.85,,3.6,-15.905999999999999,3.1189999999999998
36,17.65,ball,16.71,,3.7,-13.607999999999999,1.436
37,16.94,ball,18.5,,3.8000000000000003,-11.479000000000001,-0.129
38,13.72,ball,20.06,,3.9,-9.508,-1.577
39,6.16,ball,21.25,,4.0,-7.6579999999999995,-2.9360000000000004
40,-2.87,ball,21.6,,4.1,-5.935,-4.204
41,-11.71,ball,20.37,,4.2,-4.293,-5.409
42,-9.68,ball,19.3,,4.3,-2.7319999999999998,-6.555
43,-8.65,ball,18.39,,4.4,-1.25,-7.646
44,-8.0,ball,17.55,,4.5,0.152,-8.677
45,-6.93,ball,16.83,,4.6000000000000005,1.501,-9.668
46,-5.99,ball,16.19,,4.7,2.806,-10.625
47,-5.17,ball,15.61,,4.8,4.073,-11.552999999999999
48,-4.71,ball,15.13,,4.9,5.308,-12.463
49,-4.2,ball,14.68,,5.0,6.487,-13.33
50,-3.43,ball,14.3,,5.1000000000000005,7.632000000000001,-14.169
51,-2.79,ball,14.01,,5.2,8.752,-14.993
52,-2.97,ball,13.7,,5.3,9.844,-15.796
53,-2.62,ball,13.41,,5.4,10.940999999999999,-16.602999999999998
54,1.31,ball,13.52,,5.5,11.985,-17.37
55,3.89,ball,13.51,,5.6000000000000005,13.027999999999999,-18.136
56,0.3,ball,13.12,,5.7,14.097000000000001,-18.921
57,12.94,ball,14.53,,5.8,15.115,-19.67
58,11.32,ball,15.74,,5.9,16.11,-20.405
59,9.13,ball,16.75,,6.0,16.695,-21.715
60,5.17,ball,17.47,,6.1000000000000005,17.673,-20.772
61,2.05,ball,17.86,,6.2,19.064,-18.046
62,-2.55,ball,17.83,,6.3,20.265,-15.552999999999999
63,-8.91,ball,17.22,,6.4,21.375,-13.232000000000001
64,-13.7,ball,15.87,,6.5,22.363000000000003,-11.148
65,-9.97,ball,14.92,,6.6000000000000005,23.224,-9.335
66,-2.2,ball,14.89,,6.7,23.949,-7.78
67,-10.09,ball,13.6,,6.8,24.465,-6.651
68,-14.77,ball,12.87,,6.9,24.71,-6.084
69,-21.92,ball,10.56,,7.0,24.729,-5.966
70,-12.67,ball,8.55,,7.1000000000000005,24.491999999999997,-6.358
71,-2.73,ball,7.51,,7.2,24.024,-7.205
72,10.69,ball,8.7,,7.3,23.339000000000002,-8.516
73,11.8,ball,9.82,,7.4,22.5,-10.156
74,7.62,ball,10.67,,7.5,20.256,-14.540999999999999
75,0.63,ball,11.06,,7.6000000000000005,17.837,-19.213
76,-3.14,ball,10.97,,7.7,18.099,-18.593
77,-7.91,ball,10.35,,7.8,18.015,-18.76
78,-1.38,ball,9.36,,7.9,17.029,-20.184
79,8.52,ball,10.21,,8.0,16.166,-20.839000000000002
80,2.78,ball,11.06,,8.1,15.427,-20.418
81,-4.11,ball,11.21,,8.2,14.672,-19.985
82,-12.34,ball,9.6,,8.3,13.923,-19.555999999999997
83,-7.39,ball,8.68,,8.4,13.183,-19.134
84,-1.7,ball,8.38,,8.5,12.445,-18.712
85,-0.66,ball,8.33,,8.6,11.714,-18.287
86,-0.8,ball,8.25,,8.700000000000001,10.995999999999999,-17.875999999999998
87,-1.06,ball,8.16,,8.8,10.277000000000001,-17.465
88,-1.06,ball,8.05,,8.9,9.575,-17.066
89,-1.01,ball,7.95,,9.0,8.892000000000001,-16.676
90,-0.94,ball,7.85,,9.1,8.206,-16.277
91,-1.05,ball,7.76,,9.200000000000001,7.517,-15.88
92,-1.39,ball,7.63,,9.3,6.848,-15.494000000000002
93,-1.16,ball,7.51,,9.4,6.2,-15.13
94,-1.11,ball,7.4,,9.5,5.553999999999999,-14.757
95,-1.42,ball,7.27,,9.6,4.901,-14.382
96,-1.39,ball,7.12,,9.700000000000001,4.265,-14.017000000000001
97,-1.01,ball,7.0,,9.8,3.658,-13.672
98,-1.28,ball,6.88,,9.9,3.077,-13.309000000000001
99,-1.54,ball,6.75,,10.0,2.5380000000000003,-12.898
100,-1.1,ball,6.62,,10.1,2.046,-12.450999999999999
101,-1.43,ball,6.49,,10.200000000000001,1.595,-11.985999999999999
102,-1.23,ball,6.35,,10.3,1.1440000000000001,-11.523
103,-1.33,ball,6.23,,10.4,0.706,-11.074000000000002
104,-1.37,ball,6.1,,10.5,0.282,-10.636
105,-1.23,ball,5.96,,10.6,-0.156,-10.189
106,-1.59,ball,5.83,,10.700000000000001,-0.578,-9.759
107,-1.73,ball,5.67,,10.8,-0.972,-9.354
108,-1.66,ball,5.5,,10.9,-1.3659999999999999,-8.949
109,-1.73,ball,5.34,,11.0,-1.744,-8.562999999999999
110,-2.36,ball,5.1,,11.1,-2.114,-8.181000000000001
111,-3.16,ball,4.82,,11.200000000000001,-2.4730000000000003,-7.81
112,-0.52,ball,4.65,,11.3,-2.813,-7.465
113,-0.83,ball,4.53,,11.4,-3.137,-7.136
114,5.64,ball,4.82,,11.5,-3.447,-6.818
115,5.89,ball,5.4,,11.6,-3.718,-6.537000000000001
116,6.13,ball,5.99,,11.700000000000001,-3.9819999999999998,-6.407
117,6.62,ball,6.63,,11.8,-4.234,-6.676
118,6.83,ball,7.33,,11.9,-4.494,-6.787000000000001
119,7.41,ball,8.0,,12.0,-4.813,-6.025
120,5.67,ball,8.78,,12.1,-5.162999999999999,-4.971
121,2.78,ball,9.27,,12.200000000000001,-5.511,-3.9189999999999996
122,-0.57,ball,9.13,,12.3,-5.867999999999999,-2.8480000000000003
123,1.46,ball,9.31,,12.4,-6.235,-1.7519999999999998
124,-5.08,ball,9.09,,12.5,-6.587000000000001,-0.69
125,-5.25,ball,8.56,,12.6,-6.957000000000001,0.42
126,-5.18,ball,8.04,,12.700000000000001,-7.212999999999999,1.192
127,-5.85,ball,7.48,,12.8,-7.121,1.4169999999999998
128,-5.83,ball,6.88,,12.9,-6.567,1.137
129,-6.19,ball,6.31,,13.0,-6.022,0.863
130,-4.19,ball,5.68,,13.1,-5.501,0.603
131,-0.18,ball,5.41,,13.200000000000001,-4.978,0.341
132,0.62,ball,5.67,,13.3,-4.465,0.086
133,-1.04,ball,5.57,,13.4,-3.968,-0.16
134,-1.0,ball,5.46,,13.5,-3.478,-0.405
135,-0.91,ball,5.37,,13.6,-2.9939999999999998,-0.649
136,-2.01,ball,5.32,,13.700000000000001,-2.5140000000000002,-0.8909999999999999
137,-4.23,ball,4.91,,13.8,-2.049,-1.121
138,17.48,ball,5.61,,13.9,-1.587,-1.349
139,25.58,ball,7.94,,14.0,-1.1320000000000001,-1.575
140,24.26,ball,10.09,,14.1,-0.695,-1.797
141,22.94,ball,12.6,,14.200000000000001,-0.22,-2.033
142,16.62,ball,14.55,,14.3,-0.172,-1.921
143,13.35,ball,16.11,,14.4,-1.149,-1.128
144,9.48,ball,17.22,,14.5,-3.457,0.5760000000000001
145,8.56,ball,18.09,,14.6,-6.138999999999999,0.7340000000000001
146,9.23,ball,18.89,,14.700000000000001,-8.492,-1.212
147,11.37,ball,20.02,,14.8,-10.306,-2.884
148,-10.42,ball,20.03,,14.9,-11.827,-4.293
149,-19.0,ball,18.39,,15.0,-13.232000000000001,-5.071000000000001
150,-17.19,ball,16.88,,15.1,-14.583,-5.231
151,-15.58,ball,15.13,,15.200000000000001,-15.905,-5.388999999999999
152,-12.23,ball,13.76,,15.3,-17.192,-5.542000000000001
153,-9.25,ball,12.6,,15.4,-18.451,-5.695
154,-4.82,ball,11.93,,15.5,-19.671,-5.843
155,-4.66,ball,11.53,,15.6,-20.843000000000004,-5.98
156,-4.42,ball,11.04,,15.700000000000001,-22.094,-5.622000000000001
157,-4.86,ball,10.58,,15.8,-23.131,-5.306
158,-5.13,ball,10.07,,15.9,-24.038,-5.404
159,-4.14,ball,9.61,,16.0,-24.905,-5.768
160,-5.15,ball,9.2,,16.1,-25.642,-6.374
161,-5.45,ball,8.63,,16.2,-26.456999999999997,-6.604
162,-2.62,ball,8.24,,16.3,-27.285999999999998,-6.672000000000001
163,-2.22,ball,8.0,,16.4,-27.980999999999998,-6.973
164,-2.97,ball,7.73,,16.5,-28.72,-7.12
165,-2.59,ball,7.42,,16.6,-29.49,-7.182
166,-2.26,ball,7.2,,16.7,-30.197,-7.355
167,-1.87,ball,6.98,,16.8,-30.884,-7.513
168,-1.51,ball,6.83,,16.9,-31.541999999999998,-7.686
169,-2.08,ball,6.65,,17.0,-32.208,-7.817
170,-1.94,ball,6.44,,17.1,-32.836999999999996,-7.99
171,-1.74,ball,6.26,,17.2,-33.445,-8.136000000000001
