,PlayerID,TeamID,Ts,X,Y,Acceleration,Snelheid,Ts,TeamCentXA,TeamCentYA,LengthA,WidthA,TeamCentXB,TeamCentYB,LengthB,WidthB,distToCent,SpreadA,stdSpreadA,SpreadB,stdSpreadB,SurfaceA,SumVerticesA,ShapeRatioA,SurfaceB,SumVerticesB,ShapeRatioB,vNorm,distFrame,avgRelSpeedPlayerBall,control,distToBall,InPossession,ballPosession
0,ball,,0.1,-6.54,1.733,12.13,7.96,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0,
1,ball,,0.3,-9.632,1.975,11.08,10.27,0.3,,,,,,,,,,,,,,,,,,,,,,,,,0,
2,ball,,0.4,-11.058,2.084,10.29,11.32,0.4,,,,,,,,,,,,,,,,,,,,,,,,,0,
3,ball,,0.5,-12.401,2.188,9.74,12.32,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0,
4,ball,,0.6,-13.652,2.289,-7.47,12.43,0.6,,,,,,,,,,,,,,,,,,,,,,,,,0,
5,ball,,0.7000000000000001,-14.825,2.378,-7.33,11.76,0.7000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,0,
6,ball,,0.8,-15.951,2.467,-10.25,10.95,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0,
7,ball,,0.9,-17.005,2.548,-13.43,9.62,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0,
8,ball,,1.0,-18.0,2.625,-10.85,8.43,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0,
9,ball,,1.1,-18.935,2.699,-10.95,7.36,1.1,,,,,,,,,,,,,,,,,,,,,,,,,0,
10,ball,,1.2,-19.845,2.87,-8.67,6.35,1.2,,,,,,,,,,,,,,,,,,,,,,,,,0,
11,ball,,1.3,-20.477,3.119,-9.32,5.42,1.3,,,,,,,,,,,,,,,,,,,,,,,,,0,
12,ball,,1.4,-20.565,3.104,-8.72,4.57,1.4,,,,,,,,,,,,,,,,,,,,,,,,,0,
13,ball,,1.5,-20.447,2.999,-7.4,3.69,1.5,,,,,,,,,,,,,,,,,,,,,,,,,0,
14,ball,,1.6,-20.305,2.885,-6.38,3.06,1.6,,,,,,,,,,,,,,,,,,,,,,,,,0,
15,ball,,1.7,-20.428,2.94,-1.54,2.51,1.7,,,,,,,,,,,,,,,,,,,,,,,,,0,
16,ball,,1.8,-20.35,2.967,-1.81,2.37,1.8,,,,,,,,,,,,,,,,,,,,,,,,,0,
17,ball,,1.9,-20.169,3.053,1.91,2.49,1.9,,,,,,,,,,,,,,,,,,,,,,,,,0,
18,ball,,2.0,-20.162,3.179,0.01,2.6,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0,
19,ball,,2.1,-20.2,3.169,2.32,2.75,2.1,,,,,,,,,,,,,,,,,,,,,,,,,0,
20,ball,,2.2,-19.816,3.222,-1.07,2.77,2.2,,,,,,,,,,,,,,,,,,,,,,,,,0,
