MatchDate:			 Date of the match.
HomeTeam:			 Home team.
AwayTeam:			 Away Team.
Half:			 First or second half.
temporalAggregate:		 Level of temporal aggregation, based on <<attack>> event and counted chronologically
EventUID:			 Unique identifier of the <<attack>> events.
eventClassification:		 Classification of the current event.
tStart:			 The starting time (in seconds) of the current event.
tEnd:			 The end time (in seconds) of the current event.
RefTeam:			 Teamstring of the reference team the <<attack>> events refer to.
OthTeam:			 Teamstring of the other team (i.e., not reference) the <<attack>> events refer to.
eventOverlap:			 Boolean that indicates whether there was overlap with the previous event (True) or if there was NO overlap (False).
dtPrevEvent:			 Time (in seconds) between the instant (tEnd) of the previous and the current event.
Speed_avg:			 Average of <Speed> (Speed (m/s)). For <playerRows>. During the whole duration of the events <attack>.
Speed_avgGreaterThanZero:	 Average of <Speed> (Speed (m/s)) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
Speed_std:			 Standard Deviation of <Speed> (Speed (m/s)). For <playerRows>. During the whole duration of the events <attack>.
Speed_min:			 Minimum of <Speed> (Speed (m/s)). For <playerRows>. During the whole duration of the events <attack>.
Speed_minGreaterThanZero:	 Minimum of <Speed> (Speed (m/s)) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
Speed_max:			 Maximum of <Speed> (Speed (m/s)). For <playerRows>. During the whole duration of the events <attack>.
Speed_avg_perTimePerPlayer_all_avg:	 Average of <Speed_avg_perTimePerPlayer_all> (Speed (m/s)). For <allTeam>. During the whole duration of the events <attack>.
Speed_avg_perTimePerPlayer_all_avgGreaterThanZero:	 Average of <Speed_avg_perTimePerPlayer_all> (Speed (m/s)) with only values greater than zero. For <allTeam>. During the whole duration of the events <attack>.
Speed_avg_perTimePerPlayer_all_std:	 Standard Deviation of <Speed_avg_perTimePerPlayer_all> (Speed (m/s)). For <allTeam>. During the whole duration of the events <attack>.
Speed_avg_perTimePerPlayer_all_min:	 Minimum of <Speed_avg_perTimePerPlayer_all> (Speed (m/s)). For <allTeam>. During the whole duration of the events <attack>.
Speed_avg_perTimePerPlayer_all_minGreaterThanZero:	 Minimum of <Speed_avg_perTimePerPlayer_all> (Speed (m/s)) with only values greater than zero. For <allTeam>. During the whole duration of the events <attack>.
Speed_avg_perTimePerPlayer_all_max:	 Maximum of <Speed_avg_perTimePerPlayer_all> (Speed (m/s)). For <allTeam>. During the whole duration of the events <attack>.
Speed_avg_perTimePerPlayer_ref_avg:	 Average of <Speed_avg_perTimePerPlayer_ref> (Speed (m/s)). For <refTeam>. During the whole duration of the events <attack>.
Speed_avg_perTimePerPlayer_ref_avgGreaterThanZero:	 Average of <Speed_avg_perTimePerPlayer_ref> (Speed (m/s)) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
Speed_avg_perTimePerPlayer_ref_std:	 Standard Deviation of <Speed_avg_perTimePerPlayer_ref> (Speed (m/s)). For <refTeam>. During the whole duration of the events <attack>.
Speed_avg_perTimePerPlayer_ref_min:	 Minimum of <Speed_avg_perTimePerPlayer_ref> (Speed (m/s)). For <refTeam>. During the whole duration of the events <attack>.
Speed_avg_perTimePerPlayer_ref_minGreaterThanZero:	 Minimum of <Speed_avg_perTimePerPlayer_ref> (Speed (m/s)) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
Speed_avg_perTimePerPlayer_ref_max:	 Maximum of <Speed_avg_perTimePerPlayer_ref> (Speed (m/s)). For <refTeam>. During the whole duration of the events <attack>.
Speed_avg_perTimePerPlayer_oth_avg:	 Average of <Speed_avg_perTimePerPlayer_oth> (Speed (m/s)). For <othTeam>. During the whole duration of the events <attack>.
Speed_avg_perTimePerPlayer_oth_avgGreaterThanZero:	 Average of <Speed_avg_perTimePerPlayer_oth> (Speed (m/s)) with only values greater than zero. For <othTeam>. During the whole duration of the events <attack>.
Speed_avg_perTimePerPlayer_oth_std:	 Standard Deviation of <Speed_avg_perTimePerPlayer_oth> (Speed (m/s)). For <othTeam>. During the whole duration of the events <attack>.
Speed_avg_perTimePerPlayer_oth_min:	 Minimum of <Speed_avg_perTimePerPlayer_oth> (Speed (m/s)). For <othTeam>. During the whole duration of the events <attack>.
Speed_avg_perTimePerPlayer_oth_minGreaterThanZero:	 Minimum of <Speed_avg_perTimePerPlayer_oth> (Speed (m/s)) with only values greater than zero. For <othTeam>. During the whole duration of the events <attack>.
Speed_avg_perTimePerPlayer_oth_max:	 Maximum of <Speed_avg_perTimePerPlayer_oth> (Speed (m/s)). For <othTeam>. During the whole duration of the events <attack>.
dist to closest home_avg:	 Average of <dist to closest home> (Distance to closest home player.). For <playerRows>. During the whole duration of the events <attack>.
dist to closest home_avgGreaterThanZero:	 Average of <dist to closest home> (Distance to closest home player.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
dist to closest home_std:	 Standard Deviation of <dist to closest home> (Distance to closest home player.). For <playerRows>. During the whole duration of the events <attack>.
dist to closest home_min:	 Minimum of <dist to closest home> (Distance to closest home player.). For <playerRows>. During the whole duration of the events <attack>.
dist to closest home_minGreaterThanZero:	 Minimum of <dist to closest home> (Distance to closest home player.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
dist to closest home_max:	 Maximum of <dist to closest home> (Distance to closest home player.). For <playerRows>. During the whole duration of the events <attack>.
dist to closest home_avg_perTimePerPlayer_all_avg:	 Average of <dist to closest home_avg_perTimePerPlayer_all> (Distance to closest home player.). For <allTeam>. During the whole duration of the events <attack>.
dist to closest home_avg_perTimePerPlayer_all_avgGreaterThanZero:	 Average of <dist to closest home_avg_perTimePerPlayer_all> (Distance to closest home player.) with only values greater than zero. For <allTeam>. During the whole duration of the events <attack>.
dist to closest home_avg_perTimePerPlayer_all_std:	 Standard Deviation of <dist to closest home_avg_perTimePerPlayer_all> (Distance to closest home player.). For <allTeam>. During the whole duration of the events <attack>.
dist to closest home_avg_perTimePerPlayer_all_min:	 Minimum of <dist to closest home_avg_perTimePerPlayer_all> (Distance to closest home player.). For <allTeam>. During the whole duration of the events <attack>.
dist to closest home_avg_perTimePerPlayer_all_minGreaterThanZero:	 Minimum of <dist to closest home_avg_perTimePerPlayer_all> (Distance to closest home player.) with only values greater than zero. For <allTeam>. During the whole duration of the events <attack>.
dist to closest home_avg_perTimePerPlayer_all_max:	 Maximum of <dist to closest home_avg_perTimePerPlayer_all> (Distance to closest home player.). For <allTeam>. During the whole duration of the events <attack>.
dist to closest home_avg_perTimePerPlayer_ref_avg:	 Average of <dist to closest home_avg_perTimePerPlayer_ref> (Distance to closest home player.). For <refTeam>. During the whole duration of the events <attack>.
dist to closest home_avg_perTimePerPlayer_ref_avgGreaterThanZero:	 Average of <dist to closest home_avg_perTimePerPlayer_ref> (Distance to closest home player.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
