,Timestamp,X,Y,Snelheid,Acceleration,dist to closest home,dist to closest visitor,Naam,Shirt
0,0,,,6.71,6.39,0,0,ball,5
1,100,-6.54,1.733,7.96,12.13,6.01,7.409,ball,5
3,300,-9.632,1.975,10.27,11.08,5.515,8.763,ball,5
4,400,-11.058,2.084,11.32,10.29,5.863,9.472,ball,5
5,500,-12.401,2.188,12.32,9.74,6.47,8.88,ball,5
6,600,-13.652,2.289,12.43,-7.47,7.218,7.658,ball,5
7,700,-14.825,2.378,11.76,-7.33,8.04,6.51,ball,5
8,800,-15.951,2.467,10.95,-10.25,8.905,5.403,ball,5
9,900,-17.005,2.548,9.62,-13.43,9.766,4.362,ball,5
10,1000,-18,2.625,8.43,-10.85,10.607,3.374,ball,5
11,1100,-18.935,2.699,7.36,-10.95,11.414,2.439,ball,5
12,1200,-19.845,2.87,6.35,-8.67,12.161,1.548,ball,5
13,1300,-20.477,3.119,5.42,-9.32,12.636,1.012,ball,5
14,1400,-20.565,3.104,4.57,-8.72,12.727,0.874,ball,5
15,1500,-20.447,2.999,3.69,-7.4,12.669,0.876,ball,5
16,1600,-20.305,2.885,3.06,-6.38,12.595,0.933,ball,5
17,1700,-20.428,2.94,2.51,-1.54,12.694,0.767,ball,5
18,1800,-20.35,2.967,2.37,-1.81,12.626,0.788,ball,5
19,1900,-20.169,3.053,2.49,1.91,12.442,0.913,ball,5
20,2000,-20.162,3.179,2.6,0.01,12.403,0.874,ball,5
21,2100,-20.2,3.169,2.75,2.32,12.46,0.741,ball,5
22,2200,-19.816,3.222,2.77,-1.07,12.1,1.006,ball,5
23,2300,-19.32,3.431,2.85,1.33,11.573,1.418,ball,5
24,2400,-19.113,3.513,2.84,0.22,11.36,1.506,ball,5
25,2500,-19.029,3.667,2.92,-0.4,11.239,1.51,ball,5
26,2600,-18.746,3.724,2.8,-0.96,10.971,1.64,ball,5
27,2700,-18.625,3.861,2.58,-4.5,10.834,1.661,ball,5
28,2800,-18.353,3.916,2.19,-0.59,10.585,1.76,ball,5
29,2900,-18.169,3.968,2.24,1.96,10.424,1.761,ball,5
30,3000,-17.995,4.058,2.52,8.61,10.263,1.75,ball,5
31,3100,-17.825,4.123,3.52,15.89,10.116,1.698,ball,5
32,3200,-17.821,4.167,6.18,25.85,10.139,1.49,ball,5
33,3300,-17.723,4.216,8.54,22.03,10.077,1.358,ball,5
34,3400,-17.448,4.193,10.79,21.97,9.869,1.304,ball,5
35,3500,-16.991,3.882,12.89,20.39,9.555,1.274,ball,5
36,3600,-15.906,3.119,14.85,19.21,8.783,2.059,ball,5
37,3700,-13.608,1.436,16.71,17.65,7.501,4.632,ball,5
38,3800,-11.479,-0.129,18.5,16.94,7.015,4.875,ball,5
39,3900,-9.508,-1.577,20.06,13.72,7.273,3.96,ball,5
40,4000,-7.658,-2.936,21.25,6.16,7.846,4.337,ball,5
41,4100,-5.935,-4.204,21.6,-2.87,6.004,5.522,ball,5
42,4200,-4.293,-5.409,20.37,-11.71,4.417,6.997,ball,5
43,4300,-2.732,-6.555,19.3,-9.68,3.209,8.52,ball,5
44,4400,-1.25,-7.646,18.39,-8.65,2.632,10,ball,5
45,4500,0.152,-8.677,17.55,-8,2.852,11.401,ball,5
46,4600,1.501,-9.668,16.83,-6.93,3.617,12.741,ball,5
47,4700,2.806,-10.625,16.19,-5.99,4.611,14.027,ball,5
48,4800,4.073,-11.553,15.61,-5.17,5.679,13.681,ball,5
49,4900,5.308,-12.463,15.13,-4.71,6.765,12.449,ball,5
50,5000,6.487,-13.33,14.68,-4.2,7.799,11.292,ball,5
51,5100,7.632,-14.169,14.3,-3.43,8.792,10.185,ball,5
52,5200,8.752,-14.993,14.01,-2.79,9.345,9.113,ball,5
53,5300,9.844,-15.796,13.7,-2.97,9.238,8.084,ball,5
54,5400,10.941,-16.603,13.41,-2.62,8.789,7.057,ball,5
55,5500,11.985,-17.37,13.52,1.31,7.749,6.108,ball,5
56,5600,13.028,-18.136,13.51,3.89,6.83,5.18,ball,5
57,5700,14.097,-18.921,13.12,0.3,6.039,4.263,ball,5
58,5800,15.115,-19.67,14.53,12.94,5.486,3.49,ball,5
59,5900,16.11,-20.405,15.74,11.32,5.174,2.908,ball,5
60,6000,16.695,-21.715,16.75,9.13,4.431,2.024,ball,5
61,6100,17.673,-20.772,17.47,5.17,6.075,3.607,ball,5
62,6200,19.064,-18.046,17.86,2.05,7.542,7.146,ball,5
63,6300,20.265,-15.553,17.83,-2.55,5.067,5.692,ball,5
64,6400,21.375,-13.232,17.22,-8.91,3.625,3.56,ball,5
65,6500,22.363,-11.148,15.87,-13.7,4.002,3.261,ball,5
66,6600,23.224,-9.335,14.92,-9.97,5.519,4.712,ball,5
67,6700,23.949,-7.78,14.89,-2.2,7.277,4.525,ball,5
68,6800,24.465,-6.651,13.6,-10.09,7.293,3.168,ball,5
69,6900,24.71,-6.084,12.87,-14.77,6.543,2.448,ball,5
70,7000,24.729,-5.966,10.56,-21.92,6.161,2.25,ball,5
71,7100,24.492,-6.358,8.55,-12.67,6.194,2.629,ball,5
72,7200,24.024,-7.205,7.51,-2.73,6.642,3.514,ball,5
73,7300,23.339,-8.516,8.7,10.69,7.587,4.899,ball,5
74,7400,22.5,-10.156,9.82,11.8,8.227,6.64,ball,5
75,7500,20.256,-14.541,10.67,7.62,4.004,2.278,ball,5
76,7600,17.837,-19.213,11.06,0.63,1.353,2.591,ball,5
77,7700,18.099,-18.593,10.97,-3.14,1.179,1.555,ball,5
78,7800,18.015,-18.76,10.35,-7.91,1.439,1.402,ball,5
79,7900,17.029,-20.184,9.36,-1.38,1.111,2.823,ball,5
80,8000,16.166,-20.839,10.21,8.52,1.077,3.576,ball,5
81,8100,15.427,-20.418,11.06,2.78,0.265,3.534,ball,5
82,8200,14.672,-19.985,11.21,-4.11,0.675,3.674,ball,5
83,8300,13.923,-19.556,9.6,-12.34,1.469,3.953,ball,5
84,8400,13.183,-19.134,8.68,-7.39,2.227,4.324,ball,5
85,8500,12.445,-18.712,8.38,-1.7,2.952,4.76,ball,5
86,8600,11.714,-18.287,8.33,-0.66,3.637,5.231,ball,5
87,8700,10.996,-17.876,8.25,-0.8,3.91,5.709,ball,5
88,8800,10.277,-17.465,8.16,-1.06,3.697,6.196,ball,5
89,8900,9.575,-17.066,8.05,-1.06,3.623,6.296,ball,5
90,9000,8.892,-16.676,7.95,-1.01,3.669,5.455,ball,5
91,9100,8.206,-16.277,7.85,-0.94,3.813,4.658,ball,5
