,Id,Time,Event,NumAmiscoJ1
0,1,1,Pass,32
1,2,12,Reception,26
2,3,26,Pass,26
3,4,58,Pass,4
4,5,77,Pass,30
5,6,89,Pass,9
6,7,98,Pass,5
7,8,116,Reception,32
8,9,121,Pass,32
9,10,130,Reception,34
10,11,134,Running with ball,34
11,12,139,Running with ball,34
12,13,144,Pass,34
13,14,155,Reception,33
14,15,160,Running with ball,33
15,16,170,Running with ball,33
16,17,179,Running with ball,33
17,18,184,Pass,4
18,19,195,Pass,5
19,20,200,Reception,6
20,21,204,Pass,6
21,22,213,Reception,30
22,23,229,Pass,30
23,24,243,Reception,28
24,26,1188,Reception,3
25,27,1213,Clearance,3
26,28,1246,High catch gk,24
27,29,1308,Pass,24
28,30,1338,Reception,25
29,31,1346,Running with ball,25
30,32,1353,Pass,25
31,33,1366,Reception,24
32,34,1378,Pass,24
33,35,1407,Pass,4
34,36,1417,Pass,30
35,37,1424,Reception,33
36,38,1433,Running with ball,33
37,39,1437,Pass,33
38,40,1448,Reception,31
39,41,1455,Running with ball,31
40,42,1466,Running with ball,31
41,43,1476,Pass,31
42,44,1492,Pass,27
43,45,1503,Pass,26
44,46,1516,Pass,27
45,47,1527,Reception,26
46,48,1533,Pass,26
47,49,1542,Pass,31
48,50,1551,Reception,26
49,51,1557,Pass,26
50,52,1566,Reception,31
51,53,1574,Running with ball,31
52,54,1583,Running with ball,31
53,55,1586,Running with ball,31
54,56,1602,Pass,31
55,57,1641,Reception,29
56,58,1656,Cross,29
57,59,1667,Clearance,7
58,61,1922,Cross,29
59,62,1944,Clearance,10
60,63,1980,Reception,27
61,64,2003,Pass,27
62,65,2012,Reception,34
63,66,2027,Running with ball,34
64,67,2040,Running with ball,34
65,68,2053,Running with ball,34
66,69,2063,Pass,34
67,70,2070,Pass,31
68,71,2091,Pass,29
69,74,2276,Pass,29
70,75,2290,Pass,33
71,77,2544,Pass,1
72,78,2594,Pass,29
73,79,2608,Pass,8
74,80,2621,Pass,11
75,82,2739,Pass,4
76,83,2750,Reception,6
77,84,2762,Running with ball,6
78,85,2769,Pass,6
79,86,2780,Reception,7
80,87,2798,Running with ball,7
81,88,2803,Pass,7
82,89,2818,Reception,3
83,90,2822,Running with ball,3
84,91,2827,Pass,3
85,92,2836,Pass,6
86,93,2847,Reception,7
87,94,2857,Pass,7
88,95,2878,Reception,4
89,96,2891,Running with ball,4
90,97,2895,Pass,4
91,98,2910,Reception,7
92,99,2915,Running with ball,7
93,100,2929,Running with ball,7
94,101,2939,Pass,7
95,102,2966,Pass,2
96,103,2979,Reception,10
97,104,2988,Pass,10
98,105,2995,Pass,2
99,106,3032,Reception,10
100,107,3040,Pass,10
101,108,3057,Reception,2
102,109,3066,Running with ball,2
103,110,3071,Pass,2
104,111,3081,Reception,6
105,112,3086,Running with ball,6
106,113,3097,Cross,6
107,114,3120,Pass,5
108,115,3142,Reception,34
109,116,3150,Running with ball,34
110,118,3168,Pass,2
111,119,3182,Reception,10
112,120,3194,Cross,10
113,122,4247,Pass,24
114,123,4287,Pass,33
115,124,4297,Reception,4
116,125,4301,Pass,4
117,126,4319,Pass,11
118,127,4350,Pass,26
119,128,4363,Reception,27
120,129,4373,Pass,27
121,130,4388,Reception,28
122,131,4403,Pass,28
123,132,4456,Reception,32
124,133,4459,Neutral contact,2
125,134,4472,Reception,32
126,135,4488,Pass,32
127,136,4500,Reception,34
128,137,4510,Running with ball,34
129,138,4520,Running with ball,34
130,139,4525,Pass,34
131,140,4535,Reception,32
132,141,4538,Running with ball,32
133,142,4544,Shot on target,32
134,143,4553,High catch gk,1
135,144,4645,Running with ball,1
136,145,4666,Running with ball,1
137,146,4693,Pass,1
138,147,4710,Reception,3
139,148,4720,Pass,3
140,149,4733,Reception,1
141,150,4755,Pass,1
142,151,4774,Reception,4
143,152,4784,Running with ball,4
144,153,4798,Running with ball,4
145,154,4812,Pass,4
146,155,4823,Pass,5
147,156,4828,Neutral contact,31
148,158,4921,Pass,5
149,159,4945,Reception,4
150,160,4954,Pass,4
151,161,4979,Reception,3
152,162,4995,Running with ball,3
153,163,5001,Pass,3
154,164,5021,Reception,2
155,165,5032,Pass,2
156,166,5047,Reception,3
157,167,5063,Pass,3
158,168,5094,Reception,5
159,169,5108,Running with ball,5
160,170,5119,Cross,5
161,173,5176,Pass,5
162,174,5186,Pass,9
163,175,5198,Pass,5
164,176,5209,Pass,9
165,177,5231,Cross,5
166,178,5253,High catch gk,24
167,179,5383,Foot clearance gk,24
168,180,5441,Pass,4
169,181,5465,Pass,1
170,182,5496,Pass,11
171,183,5498,Pass,26
172,184,5513,Pass,31
173,185,5558,Reception,28
174,186,5562,Running with ball,28
175,187,5563,Clearance,28
176,191,5791,Pass,2
177,192,5805,Reception,3
178,193,5817,Clearance,3
179,194,5856,Reception,24
180,195,5879,Hold of ball gk,24
181,196,5921,Pass,24
182,197,5934,Pass,31
183,198,5957,Reception,24
184,199,5964,Pass,24
185,200,5978,Reception,27
186,201,6001,Running with ball,27
187,202,6012,Pass,27
188,203,6021,Reception,31
189,204,6034,Pass,31
190,205,6052,Reception,32
191,206,6061,Running with ball,32
192,207,6076,Pass,32
193,208,6112,Reception,30
194,209,6116,Running with ball,30
195,210,6127,Pass,30
196,211,6140,Pass,31
197,212,6153,Pass,35
198,213,6166,Reception,31
199,214,6173,Running with ball,31
200,215,6188,Pass,31
201,216,6206,Reception,27
202,217,6218,Running with ball,27
203,218,6224,Pass,27
204,219,6236,Reception,31
