GPS timing ,Video time (s) ,Team,jersey n.,x,y,Run,Goal ,Possession/Turnover ,Pass
00:35:40.78,00:00:34.43,teamA,1,1.352597302,103.9336491,,,,
00:35:40.88,00:00:34.54,teamA,1,1.352597202,103.9336498,,,,
00:35:40.98,00:00:34.64,teamA,1,1.352597102,103.9336506,,,,
00:35:41.10,00:00:34.75,teamA,1,1.352596902,103.9336515,,,,
00:35:41.17,00:00:34.84,teamA,1,1.352596902,103.9336522,,,,
00:35:41.29,00:00:34.95,teamA,1,1.352597002,103.9336531,,,,
00:35:41.40,00:00:35.04,teamA,1,1.352597602,103.9336541,,,,
00:35:41.48,00:00:35.15,teamA,1,1.352598302,103.9336551,,,,
00:35:41.59,00:00:35.24,teamA,1,1.352599102,103.933656,,,,
00:35:41.69,00:00:35.35,teamA,1,1.352599902,103.9336571,,,,
00:35:41.80,00:00:35.44,teamA,1,1.352600602,103.9336585,,,,
00:35:41.88,00:00:35.61,teamA,1,1.352601202,103.9336602,,,,
00:35:41.98,00:00:35.64,teamA,1,1.352601702,103.9336618,,,,
00:35:42.09,00:00:35.74,teamA,1,1.352601802,103.9336632,,,,
00:35:42.17,00:00:35.85,teamA,1,1.352602602,103.933664,,,,
00:35:42.29,00:00:35.94,teamA,1,1.352602102,103.9336652,,,,
00:35:42.39,00:00:36.04,teamA,1,1.352602502,103.933667,,,,
00:35:42.48,00:00:36.14,teamA,1,1.352602502,103.9336695,,,,
00:35:42.59,00:00:36.26,teamA,1,1.352602002,103.9336719,,,,
00:35:42.69,00:00:36.34,teamA,1,1.352601802,103.9336738,,,,
00:35:42.80,00:00:36.46,teamA,1,1.352601502,103.9336765,,,,
00:35:42.88,00:00:36.54,teamA,1,1.352601402,103.9336788,,,,
00:35:42.98,00:00:36.72,teamA,1,1.352600802,103.9336816,,,,
00:35:43.09,00:00:36.75,teamA,1,1.352599702,103.9336841,,,,
00:35:43.17,00:00:36.84,teamA,1,1.352598602,103.9336863,,,,
00:35:43.28,00:00:36.95,teamA,1,1.352598402,103.9336883,,,,
00:35:43.39,00:00:37.04,teamA,1,1.352597602,103.9336899,,,,
