GPS timing ,Video time (s) ,Team,jersey n.,x,y,Run,Goal ,Possession/Turnover ,Pass
0:10:05.00,00:02:01.02,teamA,1,1.352881602,103.9338037,,,,
0:10:05.10,00:02:01.12,teamA,1,1.352881802,103.9338033,,,,
0:10:05.10,00:02:01.21,teamA,1,1.352882002,103.9338029,,,,
0:10:05.30,00:02:01.31,teamA,1,1.352883102,103.933803,,,,
0:10:05.30,00:02:01.41,teamA,1,1.352884502,103.9338027,,,,
0:10:05.50,00:02:01.51,teamA,1,1.352885702,103.9338026,,,,
0:10:05.50,00:02:01.61,teamA,1,1.352887502,103.9338019,,,,
0:10:05.70,00:02:01.71,teamA,1,1.352888602,103.9338013,,,,
0:10:05.70,00:02:01.81,teamA,1,1.352889902,103.9338006,,,,
0:10:05.80,00:02:01.91,teamA,1,1.352891102,103.9337989,,,,
0:10:05.90,00:02:02.00,teamA,1,1.352892402,103.9337978,,,,
0:10:06.10,00:02:02.12,teamA,1,1.352893802,103.933797,,,,
0:10:06.20,00:02:02.22,teamA,1,1.352895602,103.9337961,,,,
0:10:06.30,00:02:02.32,teamA,1,1.352897202,103.9337952,,,,
0:10:06.40,00:02:02.42,teamA,1,1.352898502,103.9337945,,,,
0:10:06.40,00:02:02.52,teamA,1,1.352899602,103.9337934,,,,
0:10:06.50,00:02:02.62,teamA,1,1.352900802,103.9337915,,,,
0:10:06.60,00:02:02.72,teamA,1,1.352901602,103.9337908,,,,
0:10:06.80,00:02:02.81,teamA,1,1.352903502,103.9337881,,,,
0:10:06.80,00:02:02.92,teamA,1,1.352904902,103.9337874,,,,
0:10:07.00,00:02:03.01,teamA,1,1.352905602,103.9337853,,,,
0:10:07.00,00:02:03.11,teamA,1,1.352906602,103.9337844,,,,
0:10:07.20,00:02:03.21,teamA,1,1.352908302,103.9337833,,,,
0:10:07.30,00:02:03.31,teamA,1,1.352909802,103.9337826,,,,
0:10:07.30,00:02:03.40,teamA,1,1.352910302,103.9337816,,,,
0:10:07.50,00:02:03.50,teamA,1,1.352911502,103.9337811,,,,
0:10:07.50,00:02:03.61,teamA,1,1.352912602,103.9337805,,,,
0:10:07.70,00:02:03.71,teamA,1,1.352913502,103.9337793,,,,
0:10:07.70,00:02:03.81,teamA,1,1.352914502,103.933778,,,,
0:10:07.90,00:02:03.93,teamA,1,1.352914502,103.9337772,,,,
0:10:07.90,00:02:04.03,teamA,1,1.352914002,103.9337757,,,,
0:10:08.00,00:02:04.13,teamA,1,1.352916502,103.9337745,,,,
0:10:08.10,00:02:04.22,teamA,1,1.352918002,103.9337733,,,,
0:10:08.20,00:02:04.32,teamA,1,1.352918602,103.9337726,,,,
0:10:08.40,00:02:04.42,teamA,1,1.352920102,103.933771,,,,
0:10:08.40,00:02:04.52,teamA,1,1.352921902,103.9337696,,,,
0:10:08.60,00:02:04.62,teamA,1,1.352923502,103.933769,,,,
0:10:08.60,00:02:04.72,teamA,1,1.352924102,103.9337679,,,,
0:10:08.70,00:02:04.82,teamA,1,1.352925602,103.9337671,,,,
0:10:08.80,00:02:04.92,teamA,1,1.352927502,103.9337663,,,,
0:10:08.90,00:02:05.01,teamA,1,1.352929302,103.9337653,,,,
0:10:09.00,00:02:05.11,teamA,1,1.352930902,103.9337641,,,,
0:10:09.20,00:02:05.21,teamA,1,1.352933402,103.9337637,,,,
0:10:09.20,00:02:05.33,teamA,1,1.352935002,103.9337621,,,,
0:10:09.30,00:02:05.43,teamA,1,1.352936202,103.9337604,,,,
0:10:09.40,00:02:05.52,teamA,1,1.352936702,103.9337603,,,,
0:10:09.50,00:02:05.62,teamA,1,1.352938502,103.933758,,,,
0:10:09.60,00:02:05.72,teamA,1,1.352939902,103.9337569,,,,
